00 00 38 29,CMP,Yes.
00 00 38 30,LMP,That's affirm.
00 00 38 31,CMP,OPTICS ZERO to ZERO.
00 00 38 32,LMP,And if we torqued [comma]  we should realine the GDC -
00 00 38 36,CDR,Okay. Now - Yes [comma]  Just a minute. Go OPTICS ZERO after we get them down to a certain angle [comma]  right?
00 00 38 43,CMP,Yes [comma]  I'm going to try to do that. It's really not part of our operation [comma]  but you can't go wrong doing it.
00 00 38 49,LMP,I'm - I'm going to bring the purge on. We'll get a MASTER ALARM.
00 00 38 58,CDR,Okay. Ball 1 ATT set [comma]  IMU. Roll was about - 180. Fuel cell 2 [comma]  okay. And the yaw is set about -that much and the pitch is way over at 220.
00 00 39 52,LMP,Okay. Fuel cell purge is complete.
00 00 40 02,CMP,Okay. Does it call for me to turn the OPTICS -G/N OPTICS POWER [comma]  OFF?
00 00 40 06,LMP,... 16.
00 00 40 07,CMP,Here [comma]  I should get out my checklist....
00 00 40 10,LMP,OPTICS - Let's see. No [comma]  I don't see that. It says P00 - -
00 00 40 15,CMP,RETICLE - -
00 00 40 16,LMP,-- RETICLE BRIGHTNESS [comma]  dim.
00 00 40 17,CMP,Okay. Stow optics eyepieces and increase S-band volume. I never decreased it. You know [comma]  we don't have any - We have SQUELCH [comma]  ENABLE?
00 00 40 26,LMP,That's affirm.
00 00 40 27,CMP,Okay. You can tell it [comma]  can't you?
00 00 40 31,LMP,Sure can.
00 00 40 33,CMP,Okay. Well [comma]  ha ha. That's the way I wanted to start it. Five balls. Next thing on the agenda is that decal up there.
00 00 40 45,CDR,Okay [comma]  Ed. The GDC's alined.
00 00 40 47,LMP,All right.
00 00 40 50,CMP,Okay.
00 00 40 53,LMP,Okay [comma]  Stu [comma]  to P00. Okay.... PRESS is okav 02 PRESS - *
00 00 41 08,CDR,Got a full load of RCS fuel for you.
00 00 41 11,CMP,That's right. We'll use it tc burn.... quiet.
00 00 41 14,CDR,Yes. ^ Let's take is easy on that stuff. Just tap it like it's forever. Son of a bitch! That booster was good [comma]  wasn?t it?
00 00 41 23,CMP,Oh [comma]  that's something else!
00 00 41 24,LMP,Yes [comma]  wasn?t it [comma]  though? 02 quantity --
00 00 41 26,CMP,Now that book wants to set there. For Pete - Do you have trouble wanting to go to the - -
00 00 41 30,CDR,Yes. I keep floating up in - -
00 00 41 31,LMP,Yes. That's - -
00 00 41 32,CMP,I do [comma]  too. I have a hell of a job holding myself down for shooting the optics.
00 00 41 39,CDR,Yes. Boy [comma]  those stars are - -
00 00 41 41,LMP,Real good.
00 00 41 42,CDR,- - crystal clear.
00 00 41 43,LMP,Roger. It just has to be ORB RATE. Sixty-one percent.
00 00 41 50,CDR,And I got a real bright one we're aimed for right now.
00 00 41 53,CMP,Boy [comma]  they're not near as bright in that telescope as they are in the simulator.
00 00 41 56,CDR,Well [comma]  you're probably not adapted yet.
00 00 41 57,CMP,Yes. Yes. I got down here with these floodlights flaring out - -
00 00 42 00,CMP,Yes.
00 00 42 01,CMP,After I turned them out [comma]  I could see Gienah through it the second time around [comma]  so I was adapting. Okay. Looks like all I need to do is the - is to get out the stowage bag - -
00 00 42 14,CDR,Got a good horizon out here.
00 00 42 16,CMP,Dark?
00 00 42 17,CDR,Yes.
00 00 42 18,CMP,You can see it [comma]  huh?
00 00 42 19,CDR,Uh-huh.
00 00 42 21,CMP,You need anything else out of me [comma]  Ed? How you coming.
00 00 42 24,LMP,No. No. I don't need anything else out of you right now [comma]  Stu.
00 00 42 28,CDR,Well [comma]  I'm seeing it ... I'm seeing airglow [comma]  Stu. I can see the stars on the other side of it.
00 00 42 32,CMP,Well [comma]  I tell you what. Why don't I get out those temporary stowage hags [comma]  and then I can get the cameras out at our convenience [comma]  if that's agreeable
00 00 42 40,CDR,I'm ready for it. You can hand me mine right now.
00 00 42 42,CMP,Weil [comma]  I've got to go down and get it first.
00 00 42 44,CDR,Okay. Yes. That's airglow I can see [comma]  because I can see the stars underneath it.
00 00 42 51,CMP,Man [comma]  that booster's something. Couldn't get over the ice. That was something when the ice came off.
00 00 42 54,LMP,Yes [comma]  that really was.
00 00 42 56,CMP,I expected more vibration.
00 00 42 57,CDR,I really did [comma]  too.
00 00 42 58,CMP,I was really -
00 00 42 59,CDR,Yes [comma]  I thought that was a real smooth ride. Real smooth. Okay. Let's keep pressing ahead here. Slowly but surely. How you doing [comma]  Ed?
00 00 43 15,LMP,Okay. Proceeding through my systems check.
00 00 43 20,CMP,I got a bag coming up your side there. Ocp! Hey [comma]  another one got away - the other two are up behind your head. Can you reach them?
00 00 43 27,LMP,Who [comma]  me?
00 00 43 28,CMP,Yes (laughter).
00 00 43 33,LMP,Yes [comma]  I'll get them.
00 00 43 34,CMP,Hey [comma]  good (laughter). Thank you [comma]  babe. Guess what I found in there.
00 00 43 39,CDR,Oh [comma]  those goddamn things are going to be all over the place. You were right what you said about Dell'Osso.
00 00 43 47,CMP,Yes? I was needling Gene. I knew they'd done that. I mean [comma]  I didn't know it but I sus - Right behind your head are two more of those bags [comma]  Al [comma]  if you could reach them.
00 00 43 56,CDR,Okay. I'll get them. We're probably going to be collecting those patches the rest of the flight.
00 00 44 02,LMP,Yes [comma]  they're going to be hiding everywhere.
00 00 44 07,CDR,Okay [comma]  Ed-babe. How about a temporary stowage bag?
00 00 44 11,LMP,All right. I'll take one.
00 00 44 12,CDR,And [comma]  Stu-babe. How about a temporary stowage bag?
00 00 44 14,CMP,I'll take one.
00 00 44 19,CDR,Take it away. Isn't this great?
00 00 44 23,LMP,Isn't this marvelous?
00 00 44 24,CDR,Son of a bitch! I tell you. I've already beat my old record.
00 00 44 37,LMP,You beat your old record at insertion! (Laughter)
00 00 44 39,CDR,(Laughter) I know it. I was just kidding.
00 00 44 49,LMP,Okay.
00 00 44 51,CMP,And [comma]  in here [comma]  you'll have to make sure you get the bottom one snapped [comma]  which you have not had to do in the - -
00 00 44 56,LMP,37 5.
00 00 44 57,CMP,- - in the CMS.
